Battery,Segment,Model,Slope,Intercept,Train_MAE,Test_MAE,Train_MSE,Test_MSE
B0005,Pre Spike,Polynomial Regression,-0.21054064672326528,98.873010311693,0.641271810991946,0.8501759014159691,0.7029712465653596,1.076562129437584
B0005,Post Spike,Linear Regression,-0.20078918448977373,101.29928053163852,0.6084091724843218,1.9062528255803572,0.823774322752222,4.242474950507905
B0006,Pre Spike,Linear Regression,-0.33351191535169816,102.09480507295304,1.3781684535983034,1.008852461774608,3.136099935795216,1.371948365326511
B0006,Post Spike,Linear Regression,-0.20171939482378623,92.95510868218365,0.709531009275148,0.6336686222140169,1.0931493789148798,0.6057613337596197
B0007,Pre Spike,Polynomial Regression,-0.20407072238054697,99.43853008826531,0.4506688549752078,1.5004191654319428,0.3948605954315905,3.096988940254205
B0007,Post Spike,Linear Regression,-0.15312966760232452,99.47206660898833,0.47202237822321086,1.0112371438561736,0.5913848820743864,1.3342600034951666
B0018,Pre Spike,Linear Regression,-0.3218100865754213,101.7829966935973,0.47754778633993944,0.9851401070895017,0.3891492873112774,1.5552776958990866
B0018,Post Spike,Linear Regression,-0.24511688568328752,101.29415456863346,1.663283876949089,4.184488264159331,3.9904637873493534,19.034069065145957
B0025,No Spike,Linear Regression,-0.15987643601434803,100.79913992280301,0.33480897444201024,0.3059883165997424,0.24467744335675662,0.19008986655169854
B0026,No Spike,Linear Regression,-0.09658937887416381,100.56037104989812,0.27143185927027885,0.3631980638650731,0.10903300175970196,0.18344534495667664
B0027,No Spike,Polynomial Regression,-0.04372501957363859,99.93424374899044,0.3356736349474868,0.568743777620611,0.21664899829690032,0.45315148293100416
B0028,No Spike,Polynomial Regression,-0.14836266146135652,100.58810001617569,0.24616612176853375,0.3330483831303397,0.15116421060680724,0.1985243904542557
B0029,No Spike,Polynomial Regression,-0.3177811013311063,101.72176355259042,0.45926553754377797,0.3279094189018448,0.31231731980868366,0.19367846471782957
B0030,No Spike,Polynomial Regression,-0.31849850774029087,101.69231422014697,0.6058477701212545,0.350731013483335,0.6011475254458587,0.2591893938516244
B0031,No Spike,Polynomial Regression,-0.2086041586348289,100.95141289117524,0.4339345986501143,0.4602699730153823,0.34049645733912,0.24946907307474941
B0032,No Spike,Linear Regression,-0.3306956263276469,101.74218530314361,0.5257493666589833,0.48162462045140764,0.43738569110499365,0.40620546707895566
B0033,Pre Spike,Polynomial Regression,2.312745055441482,49.25535095986409,0.17885420630889826,1.0227763351147985,0.03998603389297861,1.0460714316708586
B0033,Post Spike,Linear Regression,-0.11219533285344334,97.88291359639648,1.6104248197868678,2.6782133730355064,6.911069479539445,8.125528335839306
B0034,Pre Spike,Linear Regression,-0.5465594825208933,98.86362284841712,0.6780939972945491,1.7614734709141366,0.7524017886406654,3.9526927379402848
B0034,Post Spike,Linear Regression,-0.07581594970255176,92.91005392895576,1.7984121209387054,2.248250414006717,5.672144790354973,5.88609418191564
B0036,No Spike,Linear Regression,-0.05779429229060207,95.82903759926495,0.46210583348043277,0.9601705303921656,0.37065270286447294,1.3607798782617355
B0038,No Spike,Polynomial Regression,-0.056983024165601526,97.91157587170211,0.2667162506766039,2.443206814170535,0.13488003432764847,12.660625964190187
B0039,No Spike,Polynomial Regression,-0.1554676591754915,96.49877600136277,0.44079233492140546,7.820520219120717,0.5575836455089949,102.47571947784846
B0040,Pre Spike,Linear Regression,-0.2212304337470108,45.215034898081804,0.5711760912929638,0.9853299782609023,0.5525523664469173,1.364051540527866
B0040,Post Spike,Linear Regression,-0.02968812345639105,100.41912146086221,0.380712690580062,23.071358639945743,0.5046138179292822,1457.0866834907154
B0041,No Spike,Polynomial Regression,-0.8098362839178979,116.70814323312361,0.6156602487925623,3.7350492872768966,0.5590172003867169,17.01002634573387
B0042,Pre Spike,Linear Regression,-0.791352189072664,109.90976841942008,6.583222646571972,12.535444347437116,73.68966947372806,175.5593271922851
B0042,Post Spike,Linear Regression,-0.3613173747340953,122.48271827711702,0.6434710055632678,0.6286250898987475,1.1919850039417184,0.41505137894617966
B0043,Pre Spike,Linear Regression,-0.7724200774011235,103.51154079461175,0.22753618881226956,6.528129684597161,0.06079287321373149,76.17751984013262
B0043,Post Spike,Linear Regression,-0.15725271865779747,98.17380023188367,1.5225196697546253,5.264930177526252,3.517570290672648,30.691951515531567
B0044,Pre Spike,Linear Regression,-0.8170273671783262,103.80777129103579,0.24340475307704423,5.058082385821436,0.06870056574210973,47.00425363311385
B0044,Post Spike,Linear Regression,-0.2785742336444214,100.01765161275334,1.1256117910615544,3.5540285204938242,1.9440063696841767,13.664135224046168
B0045,Pre Spike,Linear Regression,-0.6724781683987595,102.19741035580817,1.4416766478787804,6.011745698834016,3.066891136802993,113.45784175163718
B0045,Post Spike,Linear Regression,-0.2158260264274228,91.08050661626491,1.3418767373931462,1.8256656218631533,2.716094722125818,4.597370203591144
B0046,Pre Spike,Linear Regression,-0.43220949647383866,102.29226890872961,1.0245127643248257,1.688535001673923,1.7661415374559843,18.679831540110133
B0046,Post Spike,Linear Regression,-0.01795324516343916,84.44791622753905,1.8666306703456133,1.0689493234195524,5.427238613211954,1.859200391938307
B0047,Pre Spike,Linear Regression,-0.5287776988992474,101.97794665204532,1.770009318622672,2.529064248649232,3.887848492386008,9.181031361441251
B0047,Post Spike,Linear Regression,-0.01675010139599868,82.6892977321848,1.4289634048332556,0.8591379018778831,2.7330047677060065,0.9139704400027108
B0048,Pre Spike,Linear Regression,-0.449452346453718,101.72689812126221,1.6234378367082833,1.357462377658184,3.4065131676061013,2.1318001050562714
B0048,Post Spike,Linear Regression,0.0329341132843826,83.22033521059579,1.4316159662689216,0.8387832009612808,2.969576357452305,0.9175468185803646
B0049,Pre Spike,Polynomial Regression,-2.123484469706735,127.1960523776307,1.1494157302873367,4.833824713284893,1.8775175110996984,35.785818805575296
B0049,Post Spike,Linear Regression,-1.0081596305701654,87.79776027372878,2.908479898091476,2.37153203828019,8.667864701263166,6.286183983969055
B0050,Pre Spike,Polynomial Regression,-2.7748324279738625,100.88277555688968,0.0,91.20225772408203,0.0,8317.85181396988
B0050,Post Spike,Linear Regression,-10.971465843614942,181.6721366454073,22.470288983144666,46.23108827754944,751.1771005230704,3127.3452453183722
B0051,No Spike,Linear Regression,-1.2463408283012705,89.3006741512257,2.2690842782195424,1.7310372774587268,7.280990548400774,3.1255280253132653
B0052,No Spike,Linear Regression,-3.4552045520559167,106.22273639586882,1.4210854715202004e-14,2.0630181247290125,2.0194839173657902e-28,4.256043782960411
B0053,Pre Spike,Linear Regression,-0.20450103998553718,100.64272129061274,0.7784807882563953,0.5515617454096081,0.9826567211575783,0.3986802542395042
B0053,Post Spike,Linear Regression,-0.5702044785286792,123.05295186461663,0.5843273902939317,1.0293176512940694,0.3964672118226814,1.8860472109768678
B0054,Pre Spike,Linear Regression,7.851824615698879,79.172418304058,5.902909013711532,28.900213175090386,39.19987667717647,835.2223215656679
B0054,Post Spike,Linear Regression,-0.05021101106698024,90.56477091369189,6.7403005991981635,2.736916472932007,60.67277684429372,15.498354816638686
B0055,Pre Spike,Linear Regression,-0.10597130003217169,94.74363020541912,2.39580437941733,1.8133561118922406,8.522131003686335,4.626851464055366
B0055,Post Spike,Linear Regression,-1.3966020217255783,219.14684429982594,3.5783100521783195,7.201391539470133,15.348049359990076,52.3814119931547
B0056,Pre Spike,Linear Regression,-0.11381078059880988,97.11033837853708,2.2912588331334494,1.1983372085841235,7.588564307945427,2.4294945076835472
B0056,Post Spike,Linear Regression,-1.1703681793316767,200.15274288349525,1.9887938088512924,5.12387998493585,4.402858537268232,26.516957982163586
